airport_code_std,airport_name_std,n_years_observed,first_year,last_year,missing_years_count,in_model_pool,in_rank_pool_topN
ABE,Lehigh Valley International,25,2000,2024,0,True,False
ABI,Abilene Regional,25,2000,2024,0,True,False
ABQ,Albuquerque International Sunport,25,2000,2024,0,True,False
ABR,Aberdeen Regional,25,2000,2024,0,True,False
ABY,Southwest Georgia Regional,25,2000,2024,0,True,False
ACK,Nantucket Memorial,25,2000,2024,0,True,False
ACT,Waco Regional,25,2000,2024,0,True,False
ACV,Arcata,25,2000,2024,0,True,False
ACY,Atlantic City International,25,2000,2024,0,True,False
ADQ,Kodiak,25,2000,2024,0,True,False
AEX,Alexandria International,25,2000,2024,0,True,False
AGS,Augusta Regional at Bush Field,25,2000,2024,0,True,False
AKN,King Salmon,25,2000,2024,0,True,False
ALB,Albany International,25,2000,2024,0,True,False
ALO,Waterloo Regional,25,2000,2024,0,True,False
ALS,San Luis Valley Regional/Bergman Field,25,2000,2024,0,True,False
ALW,Walla Walla Regional,25,2000,2024,0,True,False
AMA,Rick Husband Amarillo International,25,2000,2024,0,True,False
ANC,Ted Stevens Anchorage International,25,2000,2024,0,True,False
ANI,Aniak,25,2000,2024,0,True,False
APN,Alpena County Regional,25,2000,2024,0,True,False
ASE,Aspen-Pitkin County/Sardy Field,25,2000,2024,0,True,False
ATL,Hartsfield - Jackson Atlanta International,25,2000,2024,0,True,True
ATW,Outagamie County Regional,25,2000,2024,0,True,False
AUS,Austin-Bergstrom International,25,2000,2024,0,True,False
AVL,Asheville Regional,25,2000,2024,0,True,False
AZO,Kalamazoo/Battle Creek International,25,2000,2024,0,True,False
BDL,Bradley International,25,2000,2024,0,True,False
BET,Bethel,25,2000,2024,0,True,False
BFF,Western Nebraska Regional/William B Heilig Field,25,2000,2024,0,True,False
BFI,Boeing Field/King County International,25,2000,2024,0,True,False
BFL,Meadows Field,25,2000,2024,0,True,False
BGM,Greater Binghamton/Edwin A Link Field,25,2000,2024,0,True,False
BGR,Bangor International,25,2000,2024,0,True,False
BHB,Hancock County-Bar Harbor,25,2000,2024,0,True,False
BHM,Birmingham-Shuttlesworth International,25,2000,2024,0,True,False
BIL,Billings Logan International,25,2000,2024,0,True,False
BIS,Bismarck Municipal,25,2000,2024,0,True,False
BLI,Bellingham International,25,2000,2024,0,True,False
BMI,Central IL Regional Airport at Bloomington-Normal,25,2000,2024,0,True,False
BNA,Nashville International,25,2000,2024,0,True,False
BPT,Jack Brooks Regional,25,2000,2024,0,True,False
BQK,Brunswick Golden Isles,25,2000,2024,0,True,False
BQN,Rafael Hernandez,25,2000,2024,0,True,False
BRD,Brainerd Lakes Regional,25,2000,2024,0,True,False
BRO,Brownsville/South Padre Island International,25,2000,2024,0,True,False
BRW,Wiley Post-Will Rogers Memorial,25,2000,2024,0,True,False
BTM,Bert Mooney,25,2000,2024,0,True,False
BTR,"Baton Rouge Metropolitan, Ryan Field",25,2000,2024,0,True,False
BTV,Burlington International,25,2000,2024,0,True,False
BUF,Buffalo Niagara International,25,2000,2024,0,True,False
BUR,Bob Hope,25,2000,2024,0,True,False
BWI,Baltimore/Washington International Thurgood Marshall,25,2000,2024,0,True,True
BZN,Bozeman Yellowstone International,25,2000,2024,0,True,False
CAE,Columbia Metropolitan,25,2000,2024,0,True,False
CAK,Akron-Canton Regional,25,2000,2024,0,True,False
CDB,Cold Bay,25,2000,2024,0,True,False
CDC,Cedar City Regional,25,2000,2024,0,True,False
CDV,Merle K (Mudhole) Smith,25,2000,2024,0,True,False
CEC,Jack McNamara Field,25,2000,2024,0,True,False
CHA,Lovell Field,25,2000,2024,0,True,False
CHO,Charlottesville-Albemarle,25,2000,2024,0,True,False
CHS,Charleston AFB/International,25,2000,2024,0,True,False
CID,The Eastern Iowa,25,2000,2024,0,True,False
CKB,North Central West Virginia,25,2000,2024,0,True,False
