airport_code_std,airport_name_std,year,enplanements,covid_period,is_missing_imputed,data_flag
ABE,Lehigh Valley International,2020,187530.0,1,0,ok
ABI,Abilene Regional,2020,44202.0,1,0,ok
ABQ,Albuquerque International Sunport,2020,868922.0,1,0,ok
ABR,Aberdeen Regional,2020,14854.0,1,0,ok
ABY,Southwest Georgia Regional,2020,17222.0,1,0,ok
ACK,Nantucket Memorial,2020,48058.0,1,0,ok
ACT,Waco Regional,2020,27704.0,1,0,ok
ACV,Arcata,2020,37979.0,1,0,ok
ACY,Atlantic City International,2020,221490.0,1,0,ok
ADQ,Kodiak,2020,40218.0,1,0,ok
AEX,Alexandria International,2020,113513.0,1,0,ok
AGS,Augusta Regional at Bush Field,2020,155450.0,1,0,ok
AKN,King Salmon,2020,17254.0,1,0,ok
AKW,Klawock,2020,10077.0,1,0,ok
ALB,Albany International,2020,509428.0,1,0,ok
ALO,Waterloo Regional,2020,7010.0,1,0,ok
ALS,San Luis Valley Regional/Bergman Field,2020,4742.0,1,0,ok
ALW,Walla Walla Regional,2020,18580.0,1,0,ok
AMA,Rick Husband Amarillo International,2020,173469.0,1,0,ok
ANC,Ted Stevens Anchorage International,2020,1157301.0,1,0,ok
ANI,Aniak,2020,2672.0,1,0,ok
APN,Alpena County Regional,2020,6533.0,1,0,ok
ART,Watertown International,2020,11671.0,1,0,ok
ASE,Aspen-Pitkin County/Sardy Field,2020,183883.0,1,0,ok
ATL,Hartsfield - Jackson Atlanta International,2020,20559866.0,1,0,ok
ATW,Outagamie County Regional,2020,184128.0,1,0,ok
ATY,Watertown Regional,2020,7225.0,1,0,ok
AUS,Austin-Bergstrom International,2020,3141505.0,1,0,ok
AVL,Asheville Regional,2020,359256.0,1,0,ok
AVP,Wilkes-Barre/Scranton International,2020,107622.0,1,0,ok
AZO,Kalamazoo/Battle Creek International,2020,52559.0,1,0,ok
BBG,Branson,2020,7068.0,1,0,ok
BDL,Bradley International,2020,1150033.0,1,0,ok
BET,Bethel,2020,64648.0,1,0,ok
BFF,Western Nebraska Regional/William B Heilig Field,2020,8933.0,1,0,ok
BFI,Boeing Field/King County International,2020,14761.0,1,0,ok
BFL,Meadows Field,2020,83933.0,1,0,ok
BFM,Mobile International,2020,5939.0,1,0,ok
BGM,Greater Binghamton/Edwin A Link Field,2020,8504.0,1,0,ok
BGR,Bangor International,2020,134022.0,1,0,ok
BHB,Hancock County-Bar Harbor,2020,2838.0,1,0,ok
BHM,Birmingham-Shuttlesworth International,2020,622789.0,1,0,ok
BID,Block Island State,2020,12399.0,1,0,ok
BIL,Billings Logan International,2020,240713.0,1,0,ok
BIS,Bismarck Municipal,2020,151966.0,1,0,ok
BJI,Bemidji Regional,2020,16783.0,1,0,ok
BKW,Raleigh County Memorial,2020,5002.0,1,0,ok
BLI,Bellingham International,2020,98256.0,1,0,ok
BLV,Scott AFB/Midamerica,2020,108765.0,1,0,ok
BMI,Central IL Regional Airport at Bloomington-Normal,2020,89759.0,1,0,ok
BNA,Nashville International,2020,4013995.0,1,0,ok
BOI,Boise Air Terminal/Gowen Field,2020,991241.0,1,0,ok
BOS,General Edward Lawrence Logan International,2020,6035452.0,1,0,ok
BPT,Jack Brooks Regional,2020,15792.0,1,0,ok
BQK,Brunswick Golden Isles,2020,19123.0,1,0,ok
BQN,Rafael Hernandez,2020,75321.0,1,0,ok
BRD,Brainerd Lakes Regional,2020,12103.0,1,0,ok
BRL,Southeast Iowa Regional,2020,2681.0,1,0,ok
BRO,Brownsville/South Padre Island International,2020,93145.0,1,0,ok
BRW,Wiley Post-Will Rogers Memorial,2020,22238.0,1,0,ok
BTM,Bert Mooney,2020,12460.0,1,0,ok
BTR,"Baton Rouge Metropolitan, Ryan Field",2020,176327.0,1,0,ok
BTV,Burlington International,2020,200182.0,1,0,ok
BUF,Buffalo Niagara International,2020,703401.0,1,0,ok
BUR,Bob Hope,2020,1056838.0,1,0,ok
BVU,Boulder City Municipal,2020,52530.0,1,0,ok
BWI,Baltimore/Washington International Thurgood Marshall,2020,5451355.0,1,0,ok
BZN,Bozeman Yellowstone International,2020,445381.0,1,0,ok
CAE,Columbia Metropolitan,2020,271923.0,1,0,ok
CAK,Akron-Canton Regional,2020,139509.0,1,0,ok
CDB,Cold Bay,2020,6323.0,1,0,ok
CDC,Cedar City Regional,2020,5883.0,1,0,ok
CDV,Merle K (Mudhole) Smith,2020,10264.0,1,0,ok
CEC,Jack McNamara Field,2020,4022.0,1,0,ok
CEZ,Cortez Municipal,2020,5603.0,1,0,ok
CGI,Cape Girardeau Regional,2020,4573.0,1,0,ok
CHA,Lovell Field,2020,223725.0,1,0,ok
CHO,Charlottesville-Albemarle,2020,131771.0,1,0,ok
CHS,Charleston AFB/International,2020,944660.0,1,0,ok
CID,The Eastern Iowa,2020,310028.0,1,0,ok
CIU,Chippewa County International,2020,10719.0,1,0,ok
CKB,North Central West Virginia,2020,18468.0,1,0,ok
CLE,Cleveland-Hopkins International,2020,1990156.0,1,0,ok
