airport_code_std,airport_name_std,year,enplanements,covid_period,is_missing_imputed,data_flag,gdp_real_trillion,fuel_price_dollar,population_million,income_capita_real,covid_stringency,enplanements_counterfactual,gap_to_trend,recovery_ratio
0AK,Pilot Station,2000,3903.0,0,0,fixed,14.096,0.85,282.162,35422.83,0.0,4118.440986301663,-215.44098630166263,0.9476887038036382
16A,Nunapitchuk,2000,2772.0,0,0,ok,14.096,0.85,282.162,35422.83,0.0,2729.097231777385,42.90276822261512,1.0157204982376804
2A9,Kotlik,2000,3511.0,0,0,ok,14.096,0.85,282.162,35422.83,0.0,3821.523939289036,-310.5239392890362,0.9187434269097352
A61,Tuntutuliak,2000,3461.0,0,0,ok,14.096,0.85,282.162,35422.83,0.0,3733.652546108933,-272.65254610893317,0.9269743119527603
ABE,Lehigh Valley International,2000,494815.0,0,0,ok,14.096,0.85,282.162,35422.83,0.0,470566.73145172,24248.26854828,1.0515299253593067
ABI,Abilene Regional,2000,58447.0,0,0,ok,14.096,0.85,282.162,35422.83,0.0,57847.460275411606,599.5397245883942,1.0103641494671327
ABQ,Albuquerque International Sunport,2000,3148780.0,0,0,ok,14.096,0.85,282.162,35422.83,0.0,3109942.002625704,38837.99737429619,1.0124883349404927
ABR,Aberdeen Regional,2000,24603.0,0,0,ok,14.096,0.85,282.162,35422.83,0.0,26462.268820318393,-1859.2688203183934,0.9297388733769192
ABY,Southwest Georgia Regional,2000,39481.0,0,0,ok,14.096,0.85,282.162,35422.83,0.0,35824.27250078588,3656.7274992141174,1.1020740197622687
ACK,Nantucket Memorial,2000,296451.0,0,0,ok,14.096,0.85,282.162,35422.83,0.0,287764.2542691529,8686.74573084712,1.0301870215010174
ACT,Waco Regional,2000,63365.0,0,0,ok,14.096,0.85,282.162,35422.83,0.0,63214.70872902125,150.2912709787488,1.0023774731229562
ACV,Arcata,2000,111163.0,0,0,ok,14.096,0.85,282.162,35422.83,0.0,100267.8928115964,10895.107188403606,1.10865997960958
ACY,Atlantic City International,2000,429788.0,0,0,ok,14.096,0.85,282.162,35422.83,0.0,393153.038556546,36634.96144345403,1.0931824451311851
ADQ,Kodiak,2000,65905.0,0,0,ok,14.096,0.85,282.162,35422.83,0.0,63354.34316660091,2550.656833399087,1.0402601732716525
