airport_code_std,airport_name_std,year,enplanements,covid_period,is_missing_imputed,data_flag
0AK,Pilot Station,2023,3195.0,0,0,ok
16A,Nunapitchuk,2023,2845.0,0,0,ok
1G4,Grand Canyon West,2023,33982.0,0,0,ok
2A3,Larsen Bay,2023,2760.0,0,0,ok
2A9,Kotlik,2023,2557.0,0,0,ok
A61,Tuntutuliak,2023,3161.0,0,0,ok
ABE,Lehigh Valley International,2023,419604.0,0,0,ok
ABI,Abilene Regional,2023,79831.0,0,0,ok
ABQ,Albuquerque International Sunport,2023,2605163.0,0,0,ok
ABR,Aberdeen Regional,2023,22112.0,0,0,ok
ABY,Southwest Georgia Regional,2023,30025.0,0,0,ok
ACK,Nantucket Memorial,2023,137664.0,0,0,ok
ACT,Waco Regional,2023,51867.0,0,0,ok
ACV,Arcata,2023,117972.0,0,0,ok
ACY,Atlantic City International,2023,437812.0,0,0,ok
ADQ,Kodiak,2023,85183.0,0,0,ok
AEX,Alexandria International,2023,176351.0,0,0,ok
AFE,Kake,2023,3605.0,0,0,ok
AGS,Augusta Regional at Bush Field,2023,280553.0,0,0,ok
AIA,Alliance Municipal,2023,4328.0,0,0,ok
AKN,King Salmon,2023,38021.0,0,0,ok
AKP,Anaktuvuk Pass,2023,3000.0,0,0,ok
AKW,Klawock,2023,16733.0,0,0,ok
ALB,Albany International,2023,1376492.0,0,0,ok
ALO,Waterloo Regional,2023,12885.0,0,0,ok
ALS,San Luis Valley Regional/Bergman Field,2023,11319.0,0,0,ok
ALW,Walla Walla Regional,2023,26465.0,0,0,ok
AMA,Rick Husband Amarillo International,2023,397983.0,0,0,ok
ANC,Ted Stevens Anchorage International,2023,2681818.0,0,0,ok
ANI,Aniak,2023,4707.0,0,0,ok
AOO,Altoona-Blair County,2023,3231.0,0,0,ok
APN,Alpena County Regional,2023,8034.0,0,0,ok
AQH,Quinhagak,2023,5119.0,0,0,ok
ART,Watertown International,2023,21524.0,0,0,ok
ASE,Aspen-Pitkin County/Sardy Field,2023,309411.0,0,0,ok
ATL,Hartsfield - Jackson Atlanta International,2023,50950068.0,0,0,ok
ATW,Outagamie County Regional,2023,474885.0,0,0,ok
ATY,Watertown Regional,2023,15532.0,0,0,ok
AUG,Augusta State,2023,5354.0,0,0,ok
AUS,Austin-Bergstrom International,2023,10833443.0,0,0,ok
AVL,Asheville Regional,2023,1125935.0,0,0,ok
AVP,Wilkes-Barre/Scranton International,2023,174061.0,0,0,ok
AWI,Wainwright,2023,3095.0,0,0,ok
AZO,Kalamazoo/Battle Creek International,2023,87626.0,0,0,ok
BBG,Branson,2023,2607.0,0,0,ok
BDL,Bradley International,2023,3122212.0,0,0,ok
BET,Bethel,2023,153548.0,0,0,ok
BFD,Bradford Regional,2023,3897.0,0,0,ok
BFF,Western Nebraska Regional/William B Heilig Field,2023,12052.0,0,0,ok
BFI,Boeing Field/King County International,2023,27446.0,0,0,ok
BFL,Meadows Field,2023,174891.0,0,0,ok
BFM,Mobile International,2023,10840.0,0,0,ok
BGM,Greater Binghamton/Edwin A Link Field,2023,36647.0,0,0,ok
BGR,Bangor International,2023,357301.0,0,0,ok
BHB,Hancock County-Bar Harbor,2023,10478.0,0,0,ok
BHM,Birmingham-Shuttlesworth International,2023,1499027.0,0,0,ok
BID,Block Island State,2023,15194.0,0,0,ok
BIH,Bishop,2023,10007.0,0,0,ok
BIL,Billings Logan International,2023,428868.0,0,0,ok
BIS,Bismarck Municipal,2023,258780.0,0,0,ok
BJI,Bemidji Regional,2023,25179.0,0,0,ok
BKW,Raleigh County Memorial,2023,4882.0,0,0,ok
BLI,Bellingham International,2023,311234.0,0,0,ok
BLV,Scott AFB/Midamerica,2023,147421.0,0,0,ok
BMI,Central IL Regional Airport at Bloomington-Normal,2023,164672.0,0,0,ok
BNA,Nashville International,2023,11227243.0,0,0,ok
BOI,Boise Air Terminal/Gowen Field,2023,2369164.0,0,0,ok
BOS,General Edward Lawrence Logan International,2023,19962678.0,0,0,ok
BPT,Jack Brooks Regional,2023,32150.0,0,0,ok
BQK,Brunswick Golden Isles,2023,33832.0,0,0,ok
BQN,Rafael Hernandez,2023,432822.0,0,0,ok
BRD,Brainerd Lakes Regional,2023,16218.0,0,0,ok
BRL,Southeast Iowa Regional,2023,4076.0,0,0,ok
BRO,Brownsville/South Padre Island International,2023,176056.0,0,0,ok
BRW,Wiley Post-Will Rogers Memorial,2023,41579.0,0,0,ok
BTM,Bert Mooney,2023,16033.0,0,0,ok
BTR,"Baton Rouge Metropolitan, Ryan Field",2023,377665.0,0,0,ok
BTV,Burlington International,2023,649557.0,0,0,ok
BUF,Buffalo Niagara International,2023,2291995.0,0,0,ok
BUR,Bob Hope,2023,3132029.0,0,0,ok
BVK,Buckland,2023,3615.0,0,0,ok
BVU,Boulder City Municipal,2023,49841.0,0,0,ok
BWI,Baltimore/Washington International Thurgood Marshall,2023,12849721.0,0,0,ok
BZN,Bozeman Yellowstone International,2023,1230110.0,0,0,ok
CAE,Columbia Metropolitan,2023,593590.0,0,0,ok
CAK,Akron-Canton Regional,2023,344002.0,0,0,ok
CDB,Cold Bay,2023,3023.0,0,0,ok
CDC,Cedar City Regional,2023,11768.0,0,0,ok
CDV,Merle K (Mudhole) Smith,2023,18244.0,0,0,ok
CEC,Jack McNamara Field,2023,7879.0,0,0,ok
CEZ,Cortez Municipal,2023,9045.0,0,0,ok
CFK,Chefornak,2023,2913.0,0,0,ok
CGI,Cape Girardeau Regional,2023,7563.0,0,0,ok
CHA,Lovell Field,2023,488024.0,0,0,ok
CHO,Charlottesville-Albemarle,2023,308485.0,0,0,ok
CHS,Charleston AFB/International,2023,3032768.0,0,0,ok
CID,The Eastern Iowa,2023,691094.0,0,0,ok
CIU,Chippewa County International,2023,22166.0,0,0,ok
CKB,North Central West Virginia,2023,42736.0,0,0,ok
CLE,Cleveland-Hopkins International,2023,4803822.0,0,0,ok
CLL,Easterwood Field,2023,60072.0,0,0,ok
CLT,Charlotte/Douglas International,2023,25896224.0,0,0,ok
CMH,Port Columbus International,2023,4095189.0,0,0,ok
CMI,University of Illinois-Willard,2023,70184.0,0,0,ok
CMX,Houghton County Memorial,2023,23355.0,0,0,ok
CNM,Cavern City Air Terminal,2023,5028.0,0,0,ok
CNY,Canyonlands Field,2023,19310.0,0,0,ok
COD,Yellowstone Regional,2023,34711.0,0,0,ok
COS,City of Colorado Springs Municipal,2023,1192123.0,0,0,ok
COU,Columbia Regional,2023,97779.0,0,0,ok
CPR,Casper/Natrona County International,2023,87181.0,0,0,ok
CPX,Benjamin Rivera Noriega,2023,18922.0,0,0,ok
CRP,Corpus Christi International,2023,352224.0,0,0,ok
CRQ,McClellan-Palomar,2023,4329.0,0,0,ok
CRW,Yeager,2023,194898.0,0,0,ok
CSG,Columbus,2023,65701.0,0,0,ok
CVG,Cincinnati/Northern Kentucky International,2023,4287722.0,0,0,ok
CVN,Clovis Municipal,2023,13623.0,0,0,ok
CWA,Central Wisconsin,2023,84775.0,0,0,ok
CXF,Coldfoot,2023,5634.0,0,0,ok
CYS,Cheyenne Regional/Jerry Olson Field,2023,13132.0,0,0,ok
D76,Robert /Bob/ Curtis Memorial,2023,3410.0,0,0,ok
DAB,Daytona Beach International,2023,348080.0,0,0,ok
DAL,Dallas Love Field,2023,8559052.0,0,0,ok
DAY,James M Cox Dayton International,2023,594188.0,0,0,ok
DBQ,Dubuque Regional,2023,16482.0,0,0,ok
DCA,Ronald Reagan Washington National,2023,12365030.0,0,0,ok
DDC,Dodge City Regional,2023,6432.0,0,0,ok
DEC,Decatur,2023,11216.0,0,0,ok
DEN,Denver International,2023,37863967.0,0,0,ok
DFW,Dallas/Fort Worth International,2023,39246212.0,0,0,ok
DHN,Dothan Regional,2023,35667.0,0,0,ok
DIK,Dickinson - Theodore Roosevelt Regional,2023,24123.0,0,0,ok
DLG,Dillingham,2023,34815.0,0,0,ok
DLH,Duluth International,2023,128109.0,0,0,ok
