airport_code_std,airport_name_std,year,enplanements,covid_period,is_missing_imputed,data_flag
0AK,Pilot Station,2000,3903.0,0,0,fixed
16A,Nunapitchuk,2000,2772.0,0,0,ok
2A3,Larsen Bay,2000,3309.0,0,0,ok
2A9,Kotlik,2000,3511.0,0,0,ok
5Z9,LAKE BROOKS,2000,4617.0,0,0,ok
71V,MONUMENT VALLEY,2000,16446.0,0,0,ok
74S,Anacortes,2000,10232.0,0,0,ok
76S,WES LUPIEN,2000,10514.0,0,0,ok
9K2,KOKHANOK,2000,2708.0,0,0,ok
A61,Tuntutuliak,2000,3461.0,0,0,ok
ABE,Lehigh Valley International,2000,494815.0,0,0,ok
ABI,Abilene Regional,2000,58447.0,0,0,ok
ABQ,Albuquerque International Sunport,2000,3148780.0,0,0,ok
ABR,Aberdeen Regional,2000,24603.0,0,0,ok
ABY,Southwest Georgia Regional,2000,39481.0,0,0,ok
ACK,Nantucket Memorial,2000,296451.0,0,0,ok
ACT,Waco Regional,2000,63365.0,0,0,ok
ACV,Arcata,2000,111163.0,0,0,ok
ACY,Atlantic City International,2000,429788.0,0,0,ok
ADQ,Kodiak,2000,65905.0,0,0,ok
AED,RED DOG,2000,10257.0,0,0,ok
AEX,Alexandria International,2000,122744.0,0,0,ok
AGN,Angoon,2000,3009.0,0,0,ok
AGS,Augusta Regional at Bush Field,2000,208444.0,0,0,ok
AHN,Athens/Ben Epps,2000,10551.0,0,0,ok
AKN,King Salmon,2000,47261.0,0,0,ok
ALB,Albany International,2000,1407092.0,0,0,ok
ALM,ALAMOGORDO-WHITE SANDS REGIO,2000,2811.0,0,0,ok
ALO,Waterloo Regional,2000,54580.0,0,0,ok
ALS,San Luis Valley Regional/Bergman Field,2000,4888.0,0,0,ok
ALW,Walla Walla Regional,2000,31620.0,0,0,ok
AMA,Rick Husband Amarillo International,2000,445161.0,0,0,ok
ANC,Ted Stevens Anchorage International,2000,2503138.0,0,0,ok
ANI,Aniak,2000,17194.0,0,0,ok
AOO,Altoona-Blair County,2000,15678.0,0,0,ok
APF,Naples Municipal,2000,54791.0,0,0,ok
APN,Alpena County Regional,2000,12609.0,0,0,ok
AQT,Nuiqsut,2000,4185.0,0,0,ok
ART,Watertown International,2000,2710.0,0,0,ok
ASE,Aspen-Pitkin County/Sardy Field,2000,215091.0,0,0,ok
ATL,Hartsfield - Jackson Atlanta International,2000,39277901.0,0,0,ok
ATW,Outagamie County Regional,2000,260474.0,0,0,ok
ATY,Watertown Regional,2000,7070.0,0,0,ok
AUG,Augusta State,2000,7148.0,0,0,ok
AUK,Alakanuk,2000,4054.0,0,0,ok
AUS,Austin-Bergstrom International,2000,3648600.0,0,0,ok
AVL,Asheville Regional,2000,277189.0,0,0,ok
