year,all_total,top30_total,top30_share,all_total_million,top30_total_million
2000,630419009.0,414784776.0,0.6579509343443671,630.419009,414.784776
2001,660082225.0,437792477.0,0.6632393062849102,660.082225,437.792477
2002,643776534.0,427489957.0,0.664034699034246,643.776534,427.489957
2003,650808785.0,436422518.0,0.6705848600368847,650.808785,436.422518
2004,705496030.0,480463942.0,0.6810299726279112,705.49603,480.463942
2005,736202261.0,503822400.0,0.6843532364538609,736.202261,503.8224
2006,738364097.0,510109130.0,0.6908639410726928,738.364097,510.10913
2007,762397236.0,525866682.0,0.6897541821623289,762.397236,525.866682
2008,735296907.0,511092202.0,0.6950827579096562,735.296907,511.092202
2009,696769131.0,491345078.0,0.7051763003547871,696.769131,491.345078
2010,712632371.0,504552861.0,0.7080128289597443,712.632371,504.552861
2011,724800854.0,516210096.0,0.7122095581857579,724.800854,516.210096
2012,731800470.0,525287624.0,0.7178017035162604,731.80047,525.287624
2013,738935380.0,533244713.0,0.7216391682314629,738.93538,533.244713
2014,761288443.0,551096230.0,0.7238993775188572,761.288443,551.09623
2015,799311160.0,580568021.0,0.7263354373783546,799.31116,580.568021
2016,829292893.0,601677831.0,0.7255311556130748,829.292893,601.677831
2017,857213313.0,617598283.0,0.720472108440061,857.213313,617.598283
2018,899710601.0,642262084.0,0.7138540807301214,899.710601,642.262084
2019,935693527.0,663402989.0,0.7089960225833645,935.693527,663.402989
2020,368245490.0,256661363.0,0.696984402986171,368.24549,256.661363
2021,655025664.0,452496886.0,0.6908078734453983,655.025664,452.496886
2022,847265216.0,591501265.0,0.6981299997095597,847.265216,591.501265
2023,943968466.0,663926144.0,0.7033350878905313,943.968466,663.926144
2024,982604990.0,688870396.0,0.7010654362746519,982.60499,688.870396
