year,enplanements,total_enplanements_million,is_disruption
2000,627747760.0,627.74776,0
2001,657953100.0,657.9531,0
2002,642024284.0,642.024284,0
2003,648953396.0,648.953396,0
2004,703769666.0,703.769666,0
2005,734598243.0,734.598243,0
2006,736708337.0,736.708337,0
2007,760741235.0,760.741235,0
2008,733405947.0,733.405947,0
2009,695111286.0,695.111286,0
2010,710406279.0,710.406279,0
2011,722144274.0,722.144274,0
2012,729000759.0,729.000759,0
2013,736028401.0,736.028401,0
2014,757926707.0,757.926707,0
2015,795916606.0,795.916606,0
2016,825799059.0,825.799059,0
2017,853494805.0,853.494805,0
2018,895839761.0,895.839761,0
2019,931073829.0,931.073829,0
2020,365915066.0,365.915066,1
2021,651610241.0,651.610241,1
2022,843064779.0,843.064779,1
2023,939393184.0,939.393184,0
2024,977721675.0,977.721675,0
