year,airport_code_std,enplanements,enplanements_counterfactual,type
2000,0AK,3903.0,4195.204262506333,History
2001,0AK,3890.0,4081.922544864705,History
2002,0AK,4684.0,4018.6712313938183,History
2003,0AK,4284.0,4019.0114632088225,History
2004,0AK,4033.0,3999.4758539154423,History
2005,0AK,3582.0,3971.0918709822,History
2006,0AK,3693.0,3894.9054939320777,History
2007,0AK,4239.0,3802.881140951184,History
2008,0AK,3563.0,3658.8996008242248,History
2009,0AK,3058.0,3483.577273128787,History
2010,0AK,3564.0,3462.9233594912803,History
2011,0AK,3641.0,3445.473448087345,History
2012,0AK,3172.0,3440.0293517847313,History
2013,0AK,3123.0,3455.78098889417,History
2014,0AK,3508.0,3452.7325533906696,History
2015,0AK,3727.0,3458.224838339025,History
2016,0AK,4127.0,3436.677557301591,History
2017,0AK,3353.0,3497.133605790441,History
2018,0AK,3016.0,3648.630184650887,History
2019,0AK,4103.0,3839.7533765635458,History
2022,0AK,2724.0,4663.807243162417,History
2023,0AK,3195.0,4636.100197854335,History
2024,0AK,3469.0,4493.389953930979,History
2000,16A,2772.0,2675.68909213203,History
2001,16A,2767.0,2719.898086643778,History
2004,16A,2550.0,2842.7998748314567,History
2005,16A,2777.0,2842.630064791767,History
2006,16A,2821.0,2826.4623863007873,History
2007,16A,3152.0,2831.0669037529733,History
2008,16A,2850.0,2882.2248571158852,History
2009,16A,2538.0,3042.2668132709805,History
2010,16A,2877.0,3078.9750052269083,History
2011,16A,3482.0,3173.448626141995,History
2012,16A,3505.0,3239.6068747953977,History
2013,16A,3652.0,3332.213001533877,History
2014,16A,3484.0,3382.541755467886,History
2015,16A,3449.0,3413.880794681376,History
2016,16A,3628.0,3480.0583212724887,History
2017,16A,3096.0,3583.3323273796123,History
2018,16A,3443.0,3737.005468847463,History
2019,16A,4187.0,3945.899745816132,History
2023,16A,2845.0,4835.589876111131,History
2024,16A,3329.0,4699.701333942125,History
2001,1G4,65625.0,27441.456148147583,History
2002,1G4,29080.0,36648.67823922634,History
2003,1G4,33067.0,54870.92430782318,History
2004,1G4,49010.0,55362.62614375353,History
2005,1G4,25945.0,55445.87179416418,History
2006,1G4,66731.0,46798.513408243656,History
2007,1G4,25947.0,41042.607225716114,History
2008,1G4,65351.0,39982.44863587618,History
