year,n_airports_observed,coverage_ratio
2000,526,0.7601156069364162
2001,536,0.7745664739884393
2002,509,0.7355491329479769
2003,513,0.7413294797687862
2004,517,0.7471098265895953
2005,514,0.7427745664739884
2006,522,0.7543352601156069
2007,527,0.7615606936416185
2008,503,0.726878612716763
2009,494,0.7138728323699421
2010,498,0.7196531791907514
2011,511,0.7384393063583815
2012,514,0.7427745664739884
2013,506,0.7312138728323699
2014,510,0.7369942196531792
2015,503,0.726878612716763
2016,506,0.7312138728323699
2017,511,0.7384393063583815
2018,519,0.75
2019,522,0.7543352601156069
2020,446,0.6445086705202312
2021,478,0.6907514450867052
2022,506,0.7312138728323699
2023,502,0.7254335260115607
2024,513,0.7413294797687862
