year,source_file,airport_code_raw,airport_code_std_raw,airport_code_std,airport_name_raw,enplanements_raw,enplanements,ocr_code_conf,ocr_total_conf,ocr_page,ocr_line_id,anomaly_reason
2000,cy00_commercial_carrier.pdf,SKE,SKE,SKE,KETCHIKAN HARBOR,"46,192",46192.0,40.714382,96.203056,1.0,"(1, 1, 29)",low_code_conf
2000,cy00_commercial_carrier.pdf,17Z,17Z,MBA,MANOKOTAK,"12,522",12522.0,91.170319,96.659904,2.0,"(1, 1, 4)",code_fixed
2000,cy00_commercial_carrier.pdf,ILI,ILI,ILI,ILIAMNA,"9,196",9196.0,48.924942,96.405495,2.0,"(1, 1, 10)",low_code_conf
2000,cy00_commercial_carrier.pdf,5Z9,5Z9,5Z9,LAKE BROOKS,"4,617",4617.0,60.962936,80.293999,2.0,"(1, 1, 24)",low_code_conf
2000,cy00_commercial_carrier.pdf,OAK,OAK,0AK,PILOT STATION,"3,903",3903.0,94.982918,96.197372,2.0,"(1, 1, 36)",code_fixed
2000,cy00_commercial_carrier.pdf,A61,A61,A61,TUNTUTULIAK,"3,461",3461.0,59.63596,96.356689,3.0,"(1, 1, 1)",low_code_conf
2000,cy00_commercial_carrier.pdf,A85,A85,GGV,KWIGILLINGOK,"3,209",3209.0,60.109234,96.017601,3.0,"(1, 1, 8)",code_fixed;low_code_conf
2000,cy00_commercial_carrier.pdf,HSL,HSL,HLA,HUSLIA,"2,848",2848.0,96.858627,96.512115,3.0,"(1, 1, 19)",code_fixed
2000,cy00_commercial_carrier.pdf,KVC,KVC,KVC,KING COVE,"2,577",2577.0,66.048203,96.040619,3.0,"(1, 1, 28)",low_code_conf
2000,cy00_commercial_carrier.pdf,GCN,GCN,GCN,GRAND CANYON NATIONAL PARK =,"524,995",524995.0,46.233727,96.744522,3.0,"(1, 3, 3)",low_code_conf
2000,cy00_commercial_carrier.pdf,SOW,SOW,SOW,MUNI,"4,059",4059.0,58.495144,95.885452,4.0,"(1, 1, 8)",low_code_conf
2000,cy00_commercial_carrier.pdf,TXK,TXK,TXK,TEXARKANA REGIONAL-WEBB,"38,794",38794.0,62.050087,96.105087,4.0,"(1, 2, 4)",low_code_conf
2000,cy00_commercial_carrier.pdf,ONT,ONT,ONT,ONTARIO INTL,"3,197,795",3197795.0,96.508385,42.314735,4.0,"(1, 3, 8)",low_total_conf
2000,cy00_commercial_carrier.pdf,BUR,BUR,BUR,BURBANK-GLENDALE-PASADENA,"2,380,531",2380531.0,96.843498,53.149319,4.0,"(1, 3, 9)",low_total_conf
2000,cy00_commercial_carrier.pdf,COS,COS,COS,CITY COLORADO SPRINGS MUN,"1,205,552",1205552.0,75.291191,61.259609,5.0,"(1, 2, 2)",low_total_conf
2000,cy00_commercial_carrier.pdf,BDL,BDL,BDL,BRADLEY INTL,"3,651,943",3651943.0,96.746307,36.4702,5.0,"(1, 3, 1)",low_total_conf
2000,cy00_commercial_carrier.pdf,MIA,MIA,MIA,MIAMI INTL,"16,489,341",16489341.0,95.49588,62.329483,5.0,"(1, 5, 1)",low_total_conf
2000,cy00_commercial_carrier.pdf,MCO,MCO,MCO,ORLANDO INTL,"14,831,648",14831648.0,73.270569,62.91238,5.0,"(1, 5, 2)",low_total_conf
