airport_code_std,rank_p05,rank_p50,rank_p95,p_top10,p_top20,p_top30,rank_stability,yhat_2025
ATL,1.0,1.0,2.0,1.0,1.0,1.0,0.9666666666666667,56998558.257172175
LAX,1.0,2.0,4.0,1.0,1.0,1.0,0.9,46506212.02109772
DFW,1.0,3.0,5.0,1.0,1.0,1.0,0.8666666666666667,45504600.685082026
DEN,2.0,4.0,5.0,1.0,1.0,1.0,0.9,39988143.68873794
ORD,2.0,5.0,6.0,1.0,1.0,1.0,0.8666666666666667,39460585.77540488
JFK,6.0,7.0,11.0,0.9416,1.0,1.0,0.8333333333333334,30249409.344347537
MCO,6.0,8.0,11.0,0.9254,1.0,1.0,0.8333333333333334,29774416.933240715
SEA,6.0,9.0,12.0,0.8176,1.0,1.0,0.8,28978360.12743432
MIA,6.0,9.0,13.0,0.7012,1.0,1.0,0.7666666666666666,28366890.20820386
SFO,6.0,10.0,13.0,0.5916,1.0,1.0,0.7666666666666666,27974929.732341357
CLT,6.0,11.0,14.0,0.4008,1.0,1.0,0.7333333333333334,27709969.03344113
EWR,7.0,12.0,15.0,0.2866,1.0,1.0,0.7333333333333334,26860762.76019961
LAS,9.0,13.0,16.0,0.1568,1.0,1.0,0.7666666666666666,25216497.893024985
PHX,10.0,14.0,16.0,0.1006,1.0,1.0,0.8,24557457.570841853
BOS,10.0,14.0,16.0,0.0778,1.0,1.0,0.8,24323093.27225453
IAH,14.0,17.0,19.0,0.0,1.0,1.0,0.8333333333333334,20555204.628923956
MSP,14.0,17.0,19.0,0.0,0.9978,1.0,0.8333333333333334,20421195.549556796
FLL,15.0,18.0,20.0,0.0,0.98,1.0,0.8333333333333334,19366784.522948805
LGA,16.0,19.0,21.0,0.0,0.8834,1.0,0.8333333333333334,17841147.26435906
DTW,18.0,20.0,23.0,0.0,0.5682,1.0,0.8333333333333334,16343585.042486256
BWI,19.0,22.0,26.0,0.0,0.207,1.0,0.7666666666666666,14060241.873120371
SAN,20.0,22.0,26.0,0.0,0.1866,1.0,0.8,13997549.547996825
SLC,20.0,22.0,26.0,0.0,0.1608,1.0,0.8,13991104.090761071
PHL,21.0,25.0,29.0,0.0,0.0088,1.0,0.7333333333333334,12260670.648148123
TPA,22.0,25.0,29.0,0.0,0.0046,1.0,0.7666666666666666,12099921.25438786
DCA,22.0,26.0,29.0,0.0,0.0028,1.0,0.7666666666666666,11926161.32689864
HNL,24.0,27.0,30.0,0.0,0.0,1.0,0.8,11112352.148487872
IAD,24.0,28.0,30.0,0.0,0.0,1.0,0.8,10705088.625069208
PDX,25.0,29.0,30.0,0.0,0.0,1.0,0.8333333333333334,10386367.426571673
MDW,26.0,29.0,30.0,0.0,0.0,1.0,0.8666666666666667,10052181.155357426
